KOSDAQ|115480|씨유메디칼시스템|의료용기기제조업|72억원|2010.07.26
UNLISTED|950064|한동식품|분식및김밥전문점|0억원|2008.01.14
UNLISTED|069880|드림픽쳐스이십일|애니메이션영화및비디오물제작업|96억원|2020.06.26
UNLISTED|819816|인텍전기전자|전기회로개폐보호및접속장치제조업|8억원|2012.02.03
UNLISTED|043270|렌탈브레인|웹에이젼시(webagency)앤터테인포털사이트|6억원|2003.05.22
KOSPI|002700|신일전자|가전제품및부품도매업|355억원|2002.11.20
KOSDAQ|018290|브이티지엠피|컴퓨터및주변장치제조업|158억원|2002.09.12
UNLISTED|253130|꼬레뱅|서양식음식점업|4억원|2020.11.23
UNLISTED|950070|중국고섬공고|지주회사및경영컨설팅서비스업|0억원|2008.01.16
UNLISTED|056570|한국인식기술|기타소프트웨어자문개발및공급업|23억원|2007.11.26
UNLISTED|296260|타스씨앤엠|빙온젤아이스_제조|35억원|2019.06.14
UNLISTED|067210|엔젤로또|전자상거래업|77억원|2007.11.22
UNLISTED|824394|티디엠하우징|비주거용건물개발및공급업|0억원|2012.02.03
UNLISTED|950074|디유넷|시스템소프트웨어개발및공급업|33억원|2008.01.21
UNLISTED|950075|케이피이|다이오드트랜지스터및유사반도체소자제조업|374억원|2008.01.22
UNLISTED|069870|인터컨스텍|교량터널및철도건설업|19억원|2012.11.06
UNLISTED|043240|엘엔아이소프트|기타소프트웨어자문개발및공급업|20억원|2007.11.22
UNLISTED|951368|옵티코어|유선통신장비제조업|0억원|2020.08.10
UNLISTED|951369|와이브레인|그외기타의료용기기제조업|0억원|2020.08.10
UNLISTED|200600|데이터젠(구.한국미디어정보기술)|응용소프트웨어개발및공급업|22억원|2015.03.19
UNLISTED|055220|싸이버뱅크|방송및무선통신기기제조업|73억원|2007.11.21
UNLISTED|313210|한울에프앤비|전자상거래업|4억원|2020.11.11
KOSPI|014710|사조씨푸드|원양어업|172억원|2011.03.08
UNLISTED|951370|우정티엠에스|절삭가공및유사처리업|0억원|2020.08.10
UNLISTED|055230|아리수미디어||8억원|2005.06.29
UNLISTED|032590|엔토리노|통신방송장비|92억원|2002.09.12
UNLISTED|951377|만나씨이에이|농업용기계및장비도매업|0억원|2020.08.14
UNLISTED|950045|이슬림코리아|컴퓨터기억장치제조업|6억원|2008.01.09
UNLISTED|951378|바이오뱅크|의료정밀및과학기기도매업|0억원|2020.08.14
UNLISTED|950044|프론티어솔루션|기타소프트웨어자문개발및공급업|10억원|2008.01.09
UNLISTED|951375|유디피아|의료용품및기타의약관련제품제조업|0억원|2020.08.12
UNLISTED|950047|삼성전자로지텍|그외기타분류안된운송관련서비스업|51억원|2008.01.09
UNLISTED|951376|덱스레보|그외기타의료용기기제조업|0억원|2020.08.13
KOSDAQ|082800|비보존헬스케어(구.루미마이크로)|다이오드트랜지스터및유사반도체소자제조업|799억원|2005.04.01
UNLISTED|951373|위버스마인드|응용소프트웨어개발및공급업|0억원|2020.08.12
UNLISTED|228180|티씨엠생명과학|자연과학및공학연구개발업|16억원|2015.10.01
UNLISTED|950040|한국공간정보통신|기타소프트웨어자문개발및공급업|12억원|2008.01.04
UNLISTED|043230|한국인터넷정보통신|컴퓨터시스템설계및자문업|5억원|2002.01.17
UNLISTED|951371|원드롭|그외기타의료용기기제조업|0억원|2020.08.11
UNLISTED|950043|티스퓨쳐|PC재활용및리사이클|0억원|2008.01.07
UNLISTED|097070|아이비네트워크|방송및무선통신기기제조업|1억원|2007.11.15
UNLISTED|950042|유웨이중앙교육|데이터베이스및온라인정보제공업|24억원|2008.01.07
UNLISTED|352900|효성티앤에스(구.노틸러스효성)|컴퓨터시스템통합자문및구축서비스업|42억원|2007.10.29
UNLISTED|811078|성림첨단산업|마그네틱및광학매체제조업|15억원|2012.02.03
UNLISTED|043250|코파네트|데이터베이스및온라인정보제공업|4억원|2002.09.27
UNLISTED|951379|브레인온|건강기능식품제조업|0억원|2020.08.14
KOSPI|002720|국제약품|치료제전문의약업체|166억원|2003.04.28
UNLISTED|314550|디벨리|영상오디오방송|30억원|2019.01.15
KOSDAQ|230490|동부스팩4호|기타금융업|5억원|2015.10.29
UNLISTED|085090|엔도어즈|게임소프트웨어제작업|177억원|2007.11.22
UNLISTED|056540|사이버리아|게임소프트웨어제작업|26억원|2002.09.16
KONEX|343090|단디바이오|의료용품및기타의약관련제품제조업|55억원|2020.03.27
UNLISTED|951380|글라세움|의학및약학연구개발업|0억원|2020.08.18
UNLISTED|340810|씨유박스|그외기타달리분류되지않은제품제조업|12억원|2020.07.23
UNLISTED|950050|썬마트홀딩스|플라스틱제품제조업|0억원|2010.10.15
KOSDAQ|115450|지트리비앤티|전자부품제조업|114억원|2009.10.19
KOSDAQ|114120|크루셜텍|전자부품제조업|143억원|2009.09.01
KOSDAQ|057880|피에이치씨|섬유의복신발및가죽제품소매업|393억원|2003.12.29
UNLISTED|279710|썸플러스|전시및행사대행업|3억원|2020.10.22
UNLISTED|951389|아스테라시스|의료정밀및과학기기도매업|0억원|2020.08.21
UNLISTED|951386|세종헬스케어|의료용품및기타의약관련제품제조업|0억원|2020.08.19
UNLISTED|951387|스켈터랩스|응용소프트웨어개발및공급업|0억원|2020.08.20
UNLISTED|139400|청우테크|동제련정련및합금제조업|28억원|2011.04.11
UNLISTED|951384|셀러비코리아|시스템소프트웨어개발및공급업|2억원|2020.08.19
UNLISTED|951385|삼정데이타서비스|시스템소프트웨어개발및공급업|0억원|2020.08.19
UNLISTED|950051|에스와이에스리테일(구.전자랜드)|가전제품소매업|581억원|2008.01.09
UNLISTED|098390|에이치아이티|그외기타분류안된특수목적용기계제조업|25억원|2007.10.31
UNLISTED|951382|스테이션3|응용소프트웨어개발및공급업|0억원|2020.08.18
UNLISTED|950054|알트론|방송및무선통신기기제조업|11억원|2008.01.09
UNLISTED|824375|트리노테크놀로지|반도체제조업|9억원|2012.02.03
UNLISTED|819728|인천화학|기타기초무기화학물질제조업|6억원|2012.02.03
KOSPI|012160|영흥철강|철강선제조업|474억원|2009.09.21
UNLISTED|038790|세양통신|유선통신기기제조업|27억원|2002.10.01
UNLISTED|819720|인천종합에너지|증기냉온수및공기조절공급업|0억원|2012.02.03
KOSDAQ|037460|삼지전자|방송및무선통신장비제조업|72억원|2002.06.08
UNLISTED|036130|디지탈에프케이|정보처리및기타컴퓨터운용관련업|0억원|2002.01.17
UNLISTED|189620|옵트로그린텍|비금속원료재생업|5억원|2013.12.30
KOSPI|138040|메리츠금융지주|금융지주회사|670억원|2011.06.16
UNLISTED|303990|엔데스크홀딩스|응용소프트웨어개발및공급업|3억원|2021.03.24
UNLISTED|327960|더콘텐츠메이커|방송프로그램제작업|3억원|2021.02.23
UNLISTED|049450|지아이티|전자기측정시험및분석기구제조업|46억원|2012.02.03
KOSPI|000180|성창기업지주|합판마루판PB등건설자재제조업체|3488억원|2002.11.20
UNLISTED|818400|위비스|근무복작업복및유사의복제조업|52억원|2012.02.03
UNLISTED|036140|코블인터내셔날|금속판봉관및유사1차금속제품도매업|0억원|2006.10.20
UNLISTED|051750|누리인포스|기타소프트웨어자문개발및공급업|12억원|2002.10.09
UNLISTED|277120|에어티앤에스(구.알무스이앤티)|기타산업용기계및장비도매업|19억원|2020.05.15
UNLISTED|806424|레드덕|게임소프트웨어개발및공급업|70억원|2012.02.03
UNLISTED|049440|에임시스템|소프트웨어개발및공급업|13억원|2007.08.30
